labels,text,text_de,text_fr
ham,What you thinked about me. First time you saw me in class.,"Was du an mich gedacht hast, als du mich das erste Mal im Unterricht gesehen hast.",La première fois que tu m'as vu en cours.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Ein Gramm läuft normalerweise wie &lt;#&gt;, ein halbes Achtel ist aber klüger und bekommt fast ein ganzes zweites Gramm für &lt;#&gt;","Un gramme fonctionne habituellement comme &lt;#&gt;, un demi-huitième est plus intelligent cependant et vous obtient presque un second gramme entier pour &lt;#&gt;"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"K fyi x hat morgen früh eine Fahrt, aber er stürzt heute Abend bei uns ab.",K fyi x a un tour tôt demain matin mais il s'écrase chez nous ce soir
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","Ich dachte, du magst es, da ich das Beste tat, was ich konnte, und du schienst immer so glücklich über die ""Höhle"". Es tut mir leid, dass ich es nicht getan habe und nicht mehr zu geben. Es tut mir leid, dass ich angeboten habe. Es tut mir leid, dass dein Zimmer so peinlich war.","Je n'ai jamais réalisé que tu étais si embarrassée par tes logements. Je pensais que tu l'aimais, puisque je faisais de mon mieux et que tu avais toujours l'air si content de ""la grotte"". Je suis désolé de ne pas avoir eu plus à donner. Je suis désolé d'avoir offert. Je suis désolé que ta chambre ait été si embarrassante."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: Die New Jersey Devils und die Detroit Red Wings spielen Eishockey. Richtig oder falsch? Ende? Antworten END SPTV,SMS. ac Sptv: Les Devils du New Jersey et les Red Wings de Detroit jouent au hockey sur glace. Correct ou incorrect? Fin? Réponse END SPTV
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,"Weißt du, was Mallika Sherawat gestern gemacht hat? Finde es jetzt heraus @ &lt;URL&gt;",Savez-vous ce que Mallika Sherawat a fait hier? Découvrez maintenant @ &lt;URL&gt;
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","Herzlichen Glückwunsch! 1 Jahr Spezial-Kino-Pass für 2 ist Ihr. rufen Sie 09061209465 jetzt! C Suprman V, Matrix3, StarWars3, etc alle 4 GRATIS! bx420-ip4-5we. 150pm. Nicht verpassen!","Félicitations! 1 an de laissez-passer spécial cinéma pour 2 est à vous. appelez le 09061209465 maintenant! C Suprman V, Matrix3, StarWars3, etc tous les 4 GRATUIT! bx420-ip4-5we. 150pm. Ne manquez pas!"
ham,"Sorry, I'll call later in meeting.","Tut mir leid, ich rufe später an.","Désolé, j'appellerai plus tard à la réunion."
ham,Tell where you reached,"Sagen Sie, wo Sie angekommen sind.",Dites où vous êtes arrivé.
ham,Yes..gauti and sehwag out of odi series.,Ja..gauti und Sehwag aus der Serie odi.,Oui..gauti et sehwag en série d'odi.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,"Du musst einen Burger für dich auf dem Heimweg abholen, ich kann mich nicht mal bewegen, Schmerz bringt mich um.","Tu vas devoir prendre un hamburger pour toi-même en rentrant, je ne peux même pas bouger, la douleur me tue."
ham,Ha ha ha good joke. Girls are situation seekers.,Mädchen sind Situationssuchende.,Les filles cherchent la situation.
ham,Its a part of checking IQ,Es ist ein Teil der Überprüfung IQ,C'est une partie du contrôle du QI
ham,"Sorry my roommates took forever, it ok if I come by now?","Tut mir leid, dass meine Mitbewohner für immer gebraucht haben, okay, wenn ich jetzt vorbeikomme?","Désolé que mes colocataires aient pris une éternité, ça va si je viens maintenant?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"Ok lar i doppelt überprüfen wif da Haar Kommode bereits sagte er wun Schnitt v kurz. Er sagte, wird schneiden, bis ich schön aussehen.",Ok lar je double vérifier wif da coiffeur déjà il a dit wun couper v court. Il a dit couper jusqu'à ce que je sois belle.
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","Als geschätzter Kunde, Ich freue mich, Sie zu beraten, dass nach der jüngsten Überprüfung Ihrer Mob Nr. Sie mit einem £ 1500 Bonus-Preis ausgezeichnet werden, rufen 09066364589","En tant que client apprécié, je suis heureux de vous informer qu'à la suite d'un récent examen de votre Mob No. vous êtes récompensé avec un Prix Bonus £1500, appelez 09066364589"
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","Heute ist ""Song gewidmet Tag.."" Welches Lied wird u widmen für mich? Senden Sie dies an alle ur wertvollen frnds aber zuerst rply mich...","Aujourd'hui c'est ""jour de chant dédié... Quelle chanson va-t-on me dédier? Envoyez ceci à tous les frnds précieux mais tout d'abord rply moi..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Dringend UR verlieh eine kostenlose Reise nach EuroDisinc Trav, Aco&Entry41 oder 1000 £. Anspruch auf DIS 87121 18+6 £1,50 (mehrFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgent UR a accordé un voyage gratuit à EuroDisinc Trav, Aco&Entry41 ou £1000. Pour réclamer txt DIS à 87121 18+6*£1.50(plusFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","Hast du von der neuen ""Divorce Barbie"" gehört?","Avez-vous entendu parler de la nouvelle ""Divorce Barbie""? Il vient avec tous les trucs de Ken!"
ham,I plane to give on this month end.,"Ich fliege, um dieses Monatsende zu geben.",J'ai pris l'avion pour donner ce mois-ci.
ham,Wah lucky man... Then can save money... Hee...,Dann kann der glückliche Mann Geld sparen.,L'homme chanceux... peut alors économiser de l'argent...
ham,Finished class where are you.,"Die Klasse ist beendet, wo du bist.",J'ai fini la classe où tu es.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,HI BABE IM ZUHAUSE JETZT WANNA etwas tun? XX,"Bonjour, je veux faire quelque chose à la maison? XX"
ham,K..k:)where are you?how did you performed?,K.k:)wo bist du?Wie hast du dich aufgeführt?,K.k:)Où êtes-vous?Comment avez-vous joué?
ham,U can call me now...,Ich kann jetzt anrufen.,U peut m'appeler maintenant...
ham,I am waiting machan. Call me once you free.,"Ruf mich an, sobald du frei bist.",Appelez-moi une fois libre.
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Das ist cool. Ich bin ein Gentleman und werde Sie mit Würde und Respekt behandeln.,C'est cool. Je suis un gentleman et je vous traiterai avec dignité et respect.
ham,I like you peoples very much:) but am very shy pa.,Ich mag euch Leute sehr:) aber bin sehr schüchtern pa.,Je vous aime beaucoup les peuples:) mais je suis très timide papa.
ham,Does not operate after  &lt;#&gt;  or what,Funktioniert nicht nach &lt;#&gt; oder was,Ne fonctionne pas après &lt;#&gt; ou quoi
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,Es ist nicht das gleiche hier. Immer noch auf der Suche nach einem Job. Wie viel verdienen Ta's dort.,"Ce n'est pas la même chose ici, toujours à la recherche d'un emploi, combien Ta gagne là-bas."
ham,"Sorry, I'll call later","Tut mir leid, ich rufe später an.","Désolé, je t'appelle plus tard."
ham,K. Did you call me just now ah?,K. Hast du mich gerade angerufen?,K. Est-ce que tu m'as appelé tout à l'heure?
ham,Ok i am on the way to home hi hi,Okay ich bin auf dem Weg nach Hause hi hallo,Ok je suis sur le chemin de la maison bonjour
ham,You will be in the place of that man,Du wirst an der Stelle dieses Mannes sein.,Tu seras à la place de cet homme.
ham,Yup next stop.,"Ja, nächste Station.","Oui, prochain arrêt."
ham,"I call you later, don't have network. If urgnt, sms me.","Ich rufe dich später an, habe kein Netzwerk.","Je t'appelle plus tard, n'ai pas de réseau."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,Ich brauche nur noch 2 Tickets und noch eine Jacke und ich bin fertig. Ich habe schon alle meine Multis benutzt.,Je n'ai besoin que de 2 billets et d'une veste de plus et j'ai fini. J'ai déjà utilisé tous mes multis.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Ja, ich begann, Anfragen zu senden, um es zu machen, aber Schmerz kam zurück, so bin ich wieder im Bett. Doppelte Münzen in der Fabrik auch. Ich muss in alle meine Nitros bar.","Oui, j'ai commencé à envoyer des demandes pour le faire mais la douleur est revenue alors je suis de retour au lit. Double pièces à l'usine aussi."
ham,I'm really not up to it still tonight babe,Ich bin wirklich nicht bis es noch heute Nacht Babe,Je n'en suis pas encore là ce soir.
ham,"Ela kano.,il download, come wen ur free..","Ela kano., il download, come wen ur free..","Ela kano.,il téléchargement, venez wen ur gratuitement.."
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,"Ja, tu es! Steh nicht zu, um zu schließen, du wirst etwas fangen!","Ne te tiens pas pour fermer, tu vas attraper quelque chose!"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,"Tut mir leid, ein Schmerz zu sein. Ist es okay, wenn wir uns noch eine Nacht treffen? Ich verbrachte am späten Nachmittag im Opfer und das bedeutet, ich habe nichts von y Zeug42moro getan und das beinhaltet alle meine Zeitblätter und das. Sorry.",Désolé d'être une douleur. Est-ce que c'est ok si nous rencontrons une autre nuit? J'ai passé la fin de l'après-midi dans la victime et cela signifie que je n'ai pas fait de trucs y42moro et cela inclut tous mes draps de temps et ça. Désolé.
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,"Smile in Pleasure Smile in Pain Smile, wenn Probleme strömen wie Rain Smile, wenn Summe1 verletzt U Smile becoz SOMEONE liebt es immer noch zu sehen u Lächeln!!",Smile in Pleasure Smile in Pain Smile when trouble like Rain Smile when sum1 Hurts U Smile becoz SOMEONE aime toujours voir u Smileing!!
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,"Bitte rufen Sie unseren Kundendienstmitarbeiter unter 0800 169 6031 zwischen 10 und 21 Uhr an, da Sie einen garantierten $1000 Cash oder £5000 Preis haben!",S'il vous plaît appeler notre représentant du service à la clientèle au 0800 169 6031 entre 10h et 21h puisque vous avez WON un montant garanti de £1000 cash ou £5000 prix!
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,"Hab nicht geplant, später zu kaufen. Ich checke bereits Lido nur 530 Show in e Nachmittag. U fertig Arbeit bereits?",Je vérifie déjà que lido n'a obtenu 530 spectacle dans l'après-midi. U terminer le travail déjà?
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Ihr kostenloser Klingelton wartet darauf, gesammelt zu werden. Schreiben Sie einfach das Passwort ""MIX"" auf 85069 zu überprüfen. Holen Sie sich Usher und Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Votre sonnerie gratuite est en attente d'être collectée. Il suffit de texte le mot de passe ""MIX"" à 85069 à vérifier. Obtenez Usher et Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Watching telugu movie..wat abt u?,Sehen telugu film..wat abt u?,Regarder un telugu film..wat abt u?
ham,i see. When we finish we have loads of loans to pay,"Wenn wir fertig sind, haben wir jede Menge Kredite zu bezahlen.","Quand nous aurons fini, nous aurons beaucoup de prêts à payer."
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""","Hallo. Wk war ok - auf Hols jetzt! Ja auf für ein bisschen von einem Lauf. Vergessen, dass ich Friseure Termin bei vier so müssen nach Hause zu bekommen n Dusche vorher. Verursacht das Problem für u?""","Bonjour. Wk a été ok - sur Hols maintenant! Oui sur un peu de course. J'ai oublié que j'ai rendez-vous des coiffeurs à quatre, donc besoin de rentrer à la maison n douche à l'avance. Est-ce que cela cause problème pour u?"""
ham,I see a cup of coffee animation,Ich sehe eine Tasse Kaffee Animation,Je vois une tasse d'animation de café
ham,Please don't text me anymore. I have nothing else to say.,Bitte sims mir nicht mehr. Ich habe nichts anderes zu sagen.,"Ne m'envoie plus de SMS, je n'ai rien d'autre à dire."
